restaurant_id,external_source,external_id,sid,canonical_name,name_vi,name_en,housenumber,street,short_address,full_address,area,ward,city,country,lat,lon,categories,cuisine_normalized,phone,website,opening_hours,zipcode,source_url,source_observed_at,discovery_status,menu_status,verification_status,confidence_discovery,data_quality_notes
rest_openmap_c6fa3ea13d9bfdd2,openmapvn,EUpaSgu3tDhM10lKIyy1CE6JRQInHHN4NIlSSSV460-0U3MdIlm5eALOgWQ8,c6fa3ea13d9bfdd2,Quán Ngon nhà Hầm,Quán Ngon nhà Hầm,,29,Hàng Khay,29 Hàng Khay,"Quán Ngon nhà Hầm, 29 Hàng Khay, phường Tràng Tiền, quận Hoàn Kiếm, thành phố Hà Nội",Hoàn Kiếm,Tràng Tiền,Hà Nội,Việt Nam,21.0257,105.852105,restaurant,,,,,27012,https://docs.openmap.vn/en/docs/rest-apis/nearby/,2026-07-08,seeded_from_openmap_live,not_observed,unverified,0.70,Live pull from OpenMap Nearby API. Discovery only -- not menu/allergy verified.
rest_openmap_2446770d750c65a7,openmapvn,t1AHjW0K0l9Jm0w9Jn0UGbFuTRjSfCFITEqxjCCxYSp9dj0EALe1TJFa3djE,2446770d750c65a7,Lake view 1983 Traditional Vietnamese & Vegan Restaurant,Lake view 1983 Traditional Vietnamese & Vegan Restaurant,,,,,"Lake view 1983 Traditional Vietnamese & Vegan Restaurant, phường Tràng Tiền, quận Hoàn Kiếm, thành phố Hà Nội",Hoàn Kiếm,Tràng Tiền,Hà Nội,Việt Nam,21.025705,105.851963,"vietnamese_restaurant,asian_restaurant,pho_restaurant,Phở,restaurant,seafood_restaurant,vegetarian_restaurant","vietnamese,asian,pho,phở,seafood,vegetarian",,,,27012,https://docs.openmap.vn/en/docs/rest-apis/nearby/,2026-07-08,seeded_from_openmap_live,not_observed,unverified,0.70,Live pull from OpenMap Nearby API. Discovery only -- not menu/allergy verified.
rest_openmap_e9932690ad8cf48b,openmapvn,oHhzTj1soCxnXQg9N1jDIUTCihYxZAUgXZ0xDqOgWSVYnE4hBplbAEWHmHBs,e9932690ad8cf48b,Bellevue Rooftop,Bellevue Rooftop,,21,Hàng Khay,"Silk Path Boutique Hanoi, 21 Hàng Khay","Bellevue Rooftop, Silk Path Boutique Hanoi, 21 Hàng Khay, phường Tràng Tiền, quận Hoàn Kiếm, thành phố Hà Nội",Hoàn Kiếm,Tràng Tiền,Hà Nội,Việt Nam,21.025546,105.852475,restaurant,,,,,27012,https://docs.openmap.vn/en/docs/rest-apis/nearby/,2026-07-08,seeded_from_openmap_live,not_observed,unverified,0.70,Live pull from OpenMap Nearby API. Discovery only -- not menu/allergy verified.
rest_openmap_762f3edfbe2993f6,openmapvn,cFI4HBSJc7VM1-tJI094FkaeWrIks5bQRSWtLNAIPALV_sxhBPiVsHX-iEUI,762f3edfbe2993f6,Poke Hanoi,Poke Hanoi,,11b,Hàng Khay,11B Hàng Khay,"Poke Hanoi, 11B Hàng Khay, phường Tràng Tiền, quận Hoàn Kiếm, thành phố Hà Nội",Hoàn Kiếm,Tràng Tiền,Hà Nội,Việt Nam,21.025479,105.852795,"poke_bar,restaurant",poke,,,,27012,https://docs.openmap.vn/en/docs/rest-apis/nearby/,2026-07-08,seeded_from_openmap_live,not_observed,unverified,0.70,Live pull from OpenMap Nearby API. Discovery only -- not menu/allergy verified.
rest_openmap_d658306c6764bb39,openmapvn,aRBRXQMAKnpexVsOMaUKpmwEQEANsnSawW5tqWIw3HSRhxkIAp5wmBlzGfUg,d658306c6764bb39,Thổ Quán,Thổ Quán,,10,Bà Triệu,10 Bà Triệu,"Thổ Quán, 10 Bà Triệu, phường Tràng Tiền, quận Hoàn Kiếm, thành phố Hà Nội",Hoàn Kiếm,Tràng Tiền,Hà Nội,Việt Nam,21.025543,105.851445,restaurant,,,,,27012,https://docs.openmap.vn/en/docs/rest-apis/nearby/,2026-07-08,seeded_from_openmap_live,not_observed,unverified,0.70,Live pull from OpenMap Nearby API. Discovery only -- not menu/allergy verified.
